route_id,trip_id,trip_headsign,service_id,shape_id
8,591,SANTA MARIA DEL TOACHI - RT002,0,5C
8,590,SANTA MARIA DEL TOACHI - RT070,0,5C
8,593,SANTA MARIA DEL TOACHI - RT061,0,5C
8,592,SANTA MARIA DEL TOACHI - RT078,0,5C
2,199,HERIBERTO M. - RT092,0,3A-3B
2,198,HERIBERTO M. - RT071,0,3A-3B
8,597,SANTA MARIA DEL TOACHI - RT091,0,5C
8,596,SANTA MARIA DEL TOACHI - RT021,0,5C
2,195,HERIBERTO M. - RT012,0,3A-3B
2,194,HERIBERTO M. - RT054,0,3A-3B
2,197,HERIBERTO M. - RT038,0,3A-3B
2,196,HERIBERTO M. - RT003,0,3A-3B
2,191,HERIBERTO M. - RT062,0,3A-3B
2,190,HERIBERTO M. - RT073,0,3A-3B
2,193,HERIBERTO M. - RT083,0,3A-3B
2,192,HERIBERTO M. - RT046,0,3A-3B
4,270,VILLA FLORIDA - BRISAS - RT088,0,4A
4,271,VILLA FLORIDA - BRISAS - RT050,0,4A
4,272,VILLA FLORIDA - BRISAS - RT075,0,4A
4,273,VILLA FLORIDA - BRISAS - RT034,0,4A
4,274,VILLA FLORIDA - BRISAS - RT079,0,4A
4,275,VILLA FLORIDA - BRISAS - RT025,0,4A
4,276,VILLA FLORIDA - BRISAS - RT096,0,4A
4,277,VILLA FLORIDA - BRISAS - RT064,0,4A
4,278,VILLA FLORIDA - BRISAS - RT058,0,4A
4,279,VILLA FLORIDA - BRISAS - RT016,0,4A
11,738,ANILLO VIAL (SECAP) - RT023,0,24A
6,524,BURNEO - BRISAS - RT027,0,5A
6,525,BURNEO - BRISAS - RT077,0,5A
6,526,BURNEO - BRISAS - RT068,0,5A
6,527,BURNEO - BRISAS - RT018,0,5A
6,520,BURNEO - BRISAS - RT052,0,5A
6,521,BURNEO - BRISAS - RT090,0,5A
6,522,BURNEO - BRISAS - RT010,0,5A
6,523,BURNEO - BRISAS - RT060,0,5A
8,599,SANTA MARIA DEL TOACHI - RT053,0,5C
6,528,BURNEO - BRISAS - RT001,0,5A
6,529,BURNEO - BRISAS - RT036,0,5A
5,449,LAS PIEDRAS - RT067,0,4B
5,448,LAS PIEDRAS - RT008,0,4B
5,443,LAS PIEDRAS - RT080,0,4B
5,442,LAS PIEDRAS - RT059,0,4B
5,441,LAS PIEDRAS - RT026,0,4B
5,440,LAS PIEDRAS - RT043,0,4B
5,447,LAS PIEDRAS - RT099,0,4B
5,446,LAS PIEDRAS - RT076,0,4B
5,445,LAS PIEDRAS - RT089,0,4B
5,444,LAS PIEDRAS - RT017,0,4B
1,108,PARAISO - U. CATOLICA - RT004,0,2
1,109,PARAISO - U. CATOLICA - RT093,0,2
1,102,PARAISO - U. CATOLICA - RT093,0,2
1,103,PARAISO - U. CATOLICA - RT089,0,2
1,100,PARAISO - U. CATOLICA - RT030,0,2
1,101,PARAISO - U. CATOLICA - RT004,0,2
1,106,PARAISO - U. CATOLICA - RT013,0,2
1,107,PARAISO - U. CATOLICA - RT030,0,2
1,104,PARAISO - U. CATOLICA - RT047,0,2
1,105,PARAISO - U. CATOLICA - RT063,0,2
0,39,GALLERA - EPACEM - RT048,0,1
0,38,GALLERA - EPACEM - RT049,0,1
0,33,GALLERA - EPACEM - RT024,0,1
0,32,GALLERA - EPACEM - RT041,0,1
0,31,GALLERA - EPACEM - RT015,0,1
0,30,GALLERA - EPACEM - RT065,0,1
0,37,GALLERA - EPACEM - RT074,0,1
0,36,GALLERA - EPACEM - RT006,0,1
0,35,GALLERA - EPACEM - RT081,0,1
0,34,GALLERA - EPACEM - RT057,0,1
8,641,SANTA MARIA DEL TOACHI - RT019,0,5C
8,640,SANTA MARIA DEL TOACHI - RT055,0,5C
8,643,SANTA MARIA DEL TOACHI - RT002,0,5C
8,642,SANTA MARIA DEL TOACHI - RT070,0,5C
9,645,ANILLO EXTERNO (DURAGAS) - RT094,0,19A
8,644,SANTA MARIA DEL TOACHI - RT078,0,5C
5,438,LAS PIEDRAS - RT051,0,4B
5,439,LAS PIEDRAS - RT035,0,4B
5,436,LAS PIEDRAS - RT067,0,4B
5,437,LAS PIEDRAS - RT009,0,4B
5,434,LAS PIEDRAS - RT099,0,4B
5,435,LAS PIEDRAS - RT008,0,4B
5,432,LAS PIEDRAS - RT089,0,4B
5,433,LAS PIEDRAS - RT076,0,4B
5,430,LAS PIEDRAS - RT080,0,4B
5,431,LAS PIEDRAS - RT017,0,4B
4,339,VILLA FLORIDA - BRISAS - RT079,0,4A
4,338,VILLA FLORIDA - BRISAS - RT034,0,4A
4,335,VILLA FLORIDA - BRISAS - RT088,0,4A
4,334,VILLA FLORIDA - BRISAS - RT066,0,4A
4,337,VILLA FLORIDA - BRISAS - RT075,0,4A
4,336,VILLA FLORIDA - BRISAS - RT050,0,4A
4,331,VILLA FLORIDA - BRISAS - RT016,0,4A
4,330,VILLA FLORIDA - BRISAS - RT058,0,4A
4,333,VILLA FLORIDA - BRISAS - RT007,0,4A
4,332,VILLA FLORIDA - BRISAS - RT042,0,4A
11,744,ANILLO VIAL (SECAP) - RT005,0,24A
